Frame,Sekunde,Aktion,WRIST_Y,SHOULDER_Y,ANKLE_Y,Sichtbarkeit,Fehler
315,12.6,neutral,0.7749264240264893,0.6907575130462646,0.8697434067726135,0.87,False
316,12.64,neutral,0.7746250033378601,0.6905037760734558,0.8699017763137817,0.86,False
317,12.68,neutral,0.7747606039047241,0.6905420422554016,0.8705199956893921,0.85,False
318,12.72,neutral,0.774910032749176,0.6907007694244385,0.8710321187973022,0.84,False
319,12.76,neutral,0.7744195461273193,0.6907749176025391,0.8710839748382568,0.8,False
320,12.8,neutral,0.7716583013534546,0.6908531785011292,0.8711300492286682,0.75,False
321,12.84,neutral,0.7732480764389038,0.6912293434143066,0.8711515069007874,0.76,False
322,12.88,neutral,0.7736979126930237,0.6912578344345093,0.8717371821403503,0.76,False
323,12.92,neutral,0.7742853760719299,0.6914684176445007,0.8712117671966553,0.77,False
324,12.96,neutral,0.7743430137634277,0.691493570804596,0.8710441589355469,0.77,False
325,13.0,neutral,0.7744119167327881,0.6909173130989075,0.871015191078186,0.78,False
326,13.04,neutral,0.7746102809906006,0.6902077198028564,0.8710629940032959,0.79,False
327,13.08,neutral,0.7746466994285583,0.6900889873504639,0.8710724711418152,0.8,False
328,13.12,neutral,0.7746561169624329,0.6897758841514587,0.8709610104560852,0.81,False
329,13.16,neutral,0.7755879163742065,0.6895871162414551,0.8708915710449219,0.82,False
330,13.2,neutral,0.7765316963195801,0.6895418167114258,0.8711060881614685,0.83,False
331,13.24,neutral,0.7829513549804688,0.6901261210441589,0.8714986443519592,0.84,False
332,13.28,neutral,0.7847687602043152,0.6918177604675293,0.8723205924034119,0.85,False
333,13.32,neutral,0.7889907360076904,0.6944352388381958,0.872300386428833,0.86,False
334,13.36,neutral,0.7931554317474365,0.6977095007896423,0.8731938600540161,0.87,False
335,13.4,neutral,0.7934176921844482,0.6996729373931885,0.8740251064300537,0.88,False
336,13.44,neutral,0.7933464050292969,0.7005918622016907,0.8763282299041748,0.88,False
337,13.48,neutral,0.7937846183776855,0.7008668184280396,0.8790691494941711,0.89,False
338,13.52,neutral,0.7961772084236145,0.7012693285942078,0.8831691145896912,0.9,False
339,13.56,neutral,0.7961286902427673,0.7011115550994873,0.8916826248168945,0.9,False
340,13.6,neutral,0.7970088720321655,0.7014272809028625,0.8980093002319336,0.91,False
341,13.64,neutral,0.7968634963035583,0.7017902135848999,0.8989474177360535,0.91,False
342,13.68,neutral,0.7962422966957092,0.702305018901825,0.8995612263679504,0.92,False
343,13.72,neutral,0.7961863279342651,0.702173113822937,0.8995492458343506,0.92,False
344,13.76,neutral,0.7956236600875854,0.7024496793746948,0.9003896713256836,0.92,False
345,13.8,neutral,0.795574963092804,0.7024163603782654,0.9020982384681702,0.92,False
346,13.84,neutral,0.7952944040298462,0.7027862071990967,0.9019181132316589,0.91,False
347,13.88,neutral,0.7959481477737427,0.7041578888893127,0.9012715220451355,0.92,False
348,13.92,neutral,0.7969359755516052,0.7057831287384033,0.9002355933189392,0.92,False
349,13.96,neutral,0.7967715859413147,0.706508457660675,0.8996161222457886,0.92,False
350,14.0,neutral,0.7965165376663208,0.7068254351615906,0.8992263078689575,0.92,False
351,14.04,neutral,0.7978177666664124,0.7078626155853271,0.9008365273475647,0.93,False
352,14.08,neutral,0.7980735898017883,0.7085469961166382,0.9005305171012878,0.93,False
353,14.12,neutral,0.7983844876289368,0.7091072201728821,0.9000204801559448,0.94,False
354,14.16,neutral,0.7991890907287598,0.7108687162399292,0.8967779874801636,0.94,False
355,14.2,neutral,0.7997086644172668,0.7124798893928528,0.8956055045127869,0.94,False
356,14.24,neutral,0.7998929023742676,0.7133986353874207,0.8950426578521729,0.94,False
357,14.28,neutral,0.7996924519538879,0.7144376635551453,0.8951115012168884,0.94,False
358,14.32,neutral,0.8004380464553833,0.7150636315345764,0.8950719833374023,0.94,False
359,14.36,neutral,0.7918954491615295,0.714415967464447,0.8950240015983582,0.91,False
360,14.4,neutral,0.7794269919395447,0.7129313945770264,0.894659698009491,0.89,False
361,14.44,neutral,0.7757653594017029,0.7102819085121155,0.8944224119186401,0.89,False
362,14.48,neutral,0.7731584906578064,0.7078888416290283,0.893441915512085,0.83,False
363,14.52,neutral,0.7600993514060974,0.7014787197113037,0.8905333280563354,0.76,False
364,14.56,neutral,0.7560142278671265,0.6970160603523254,0.8850285410881042,0.71,False
365,14.6,neutral,0.7528245449066162,0.6937942504882812,0.8798776865005493,0.7,False
366,14.64,neutral,0.7518484592437744,0.6940196752548218,0.8671839833259583,0.68,False
367,14.68,neutral,0.7525829672813416,0.6955015659332275,0.8593775629997253,0.64,False
368,14.72,neutral,0.7502859830856323,0.6977182626724243,0.8669822216033936,0.6,False
369,14.76,neutral,0.7701693773269653,0.7023347020149231,0.8698492646217346,0.64,False
370,14.8,neutral,0.7705912590026855,0.7068065404891968,0.8670523762702942,0.65,False
371,14.84,neutral,0.7725133895874023,0.7096139788627625,0.8632950782775879,0.66,False
372,14.88,neutral,0.7743507027626038,0.711943507194519,0.8663073182106018,0.66,False
373,14.92,neutral,0.7738154530525208,0.7133537530899048,0.8675925135612488,0.68,False
374,14.96,neutral,0.7837369441986084,0.7151045799255371,0.8669416308403015,0.69,False
375,15.0,neutral,0.7793129682540894,0.713325023651123,0.8676282167434692,0.71,False
376,15.04,neutral,0.7785415053367615,0.7117822170257568,0.8647913336753845,0.69,False
377,15.08,neutral,0.7709957957267761,0.7053875923156738,0.8578014373779297,0.66,False
378,15.12,neutral,0.7677772045135498,0.7022917866706848,0.859830379486084,0.67,False
379,15.16,neutral,0.7642987966537476,0.6943191885948181,0.8609619736671448,0.67,False
380,15.2,neutral,0.7623498439788818,0.6889724135398865,0.8569624423980713,0.7,False
381,15.24,neutral,0.7589781284332275,0.685859203338623,0.8561320304870605,0.72,False
382,15.28,neutral,0.7588568329811096,0.682976245880127,0.8571932911872864,0.73,False
383,15.32,neutral,0.7604981064796448,0.6830082535743713,0.8566765785217285,0.74,False
384,15.36,neutral,0.7613857388496399,0.6856012344360352,0.8588648438453674,0.76,False
385,15.4,neutral,0.7661572694778442,0.687715470790863,0.8632785081863403,0.78,False
386,15.44,neutral,0.7737038731575012,0.6916002631187439,0.8725934624671936,0.78,False
387,15.48,neutral,0.7829145789146423,0.702688455581665,0.8802136778831482,0.79,False
388,15.52,neutral,0.7844976186752319,0.7116908431053162,0.8780540227890015,0.75,False
389,15.56,neutral,0.7842376232147217,0.7181001901626587,0.8763800859451294,0.71,False
390,15.6,neutral,0.782110333442688,0.7215783596038818,0.8777447938919067,0.66,False
391,15.64,neutral,0.7990153431892395,0.7248777151107788,0.878129780292511,0.66,False
392,15.68,neutral,0.792726993560791,0.7267438769340515,0.8803461194038391,0.63,False
393,15.72,neutral,0.801598310470581,0.7285153865814209,0.8818159103393555,0.64,False
394,15.76,neutral,0.8052726984024048,0.7294213175773621,0.8801767230033875,0.64,False
395,15.8,neutral,0.8039273619651794,0.7289198637008667,0.879458487033844,0.62,False
396,15.84,neutral,0.8017022013664246,0.728236973285675,0.8792532086372375,0.63,False
397,15.88,neutral,0.7999697327613831,0.7269694805145264,0.8790687918663025,0.63,False
398,15.92,neutral,0.7984904050827026,0.7261204123497009,0.8791983723640442,0.63,False
399,15.96,neutral,0.794901967048645,0.7242043614387512,0.8790866732597351,0.61,False
400,16.0,neutral,0.7919805645942688,0.7220644950866699,0.8795025944709778,0.59,False
401,16.04,neutral,0.7881482839584351,0.7162487506866455,0.8793621063232422,0.57,False
402,16.08,neutral,0.7801253795623779,0.7105271220207214,0.8760064244270325,0.55,False
403,16.12,neutral,0.7699962258338928,0.7012381553649902,0.8732382655143738,0.55,False
404,16.16,neutral,0.7573408484458923,0.6932488679885864,0.8699528574943542,0.56,False
405,16.2,neutral,0.7488510608673096,0.683823823928833,0.8705018758773804,0.58,False
406,16.24,neutral,0.7405773997306824,0.6765339374542236,0.8639519214630127,0.61,False
407,16.28,neutral,0.7358067035675049,0.6715689301490784,0.8636651039123535,0.63,False
408,16.32,neutral,0.7310698628425598,0.6649500727653503,0.846832811832428,0.62,False
